127.0.0.1 - - [04/Nov/2017:20:39:07 -0200] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:39:11 -0200] "GET /Drogaria/pages/cidades.xhtml HTTP/1.1" 200 22241
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:39:12 -0200] "GET /Drogaria/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=F261CD8B2736253850C811ED8A40BAC5?ln=primefaces&v=5.2 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:39:12 -0200] "GET /Drogaria/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=F261CD8B2736253850C811ED8A40BAC5?ln=primefaces&v=5.2 HTTP/1.1" 200 240240
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:39:12 -0200] "GET /Drogaria/javax.faces.resource/primefaces.js.xhtml;jsessionid=F261CD8B2736253850C811ED8A40BAC5?ln=primefaces&v=5.2 HTTP/1.1" 200 340589
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:39:12 -0200] "GET /Drogaria/javax.faces.resource/theme.css.xhtml?ln=primefaces-blitzer HTTP/1.1" 200 18536
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:39:12 -0200] "GET /Drogaria/javax.faces.resource/primefaces.css.xhtml;jsessionid=F261CD8B2736253850C811ED8A40BAC5?ln=primefaces&v=5.2 HTTP/1.1" 200 63492
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:39:12 -0200] "GET /Drogaria/javax.faces.resource/images/ui-bg_flat_65_ffffff_40x100.png.xhtml?ln=primefaces-blitzer HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:39:12 -0200] "GET /Drogaria/javax.faces.resource/images/ui-icons_cc0000_256x240.png.xhtml?ln=primefaces-blitzer HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:39:12 -0200] "GET /Drogaria/javax.faces.resource/images/ui-bg_highlight-soft_15_cc0000_1x100.png.xhtml?ln=primefaces-blitzer HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:39:12 -0200] "GET /Drogaria/javax.faces.resource/images/ui-bg_highlight-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-blitzer HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:39:12 -0200] "GET /Drogaria/javax.faces.resource/images/ui-bg_flat_75_ffffff_40x100.png.xhtml?ln=primefaces-blitzer HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:39:12 -0200] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:40:00 -0200] "GET /Drogaria/pages/estados.xhtml HTTP/1.1" 200 20777
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:40:00 -0200] "GET /Drogaria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.2 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:40:00 -0200] "GET /Drogaria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.2 HTTP/1.1" 200 340589
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:40:00 -0200] "GET /Drogaria/javax.faces.resource/theme.css.xhtml?ln=primefaces-blitzer HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:40:00 -0200] "GET /Drogaria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.2 HTTP/1.1" 200 240240
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:40:00 -0200] "GET /Drogaria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.2 HTTP/1.1" 200 63492
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:40:01 -0200] "GET /Drogaria/javax.faces.resource/images/ui-icons_cc0000_256x240.png.xhtml?ln=primefaces-blitzer HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:40:01 -0200] "GET /Drogaria/javax.faces.resource/images/ui-bg_flat_75_ffffff_40x100.png.xhtml?ln=primefaces-blitzer HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:40:01 -0200] "GET /Drogaria/javax.faces.resource/images/ui-bg_highlight-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-blitzer HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:40:01 -0200] "GET /Drogaria/javax.faces.resource/images/ui-bg_flat_65_ffffff_40x100.png.xhtml?ln=primefaces-blitzer HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:40:01 -0200] "GET /Drogaria/javax.faces.resource/images/ui-bg_highlight-soft_15_cc0000_1x100.png.xhtml?ln=primefaces-blitzer HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2017:20:40:02 -0200] "GET /Drogaria/javax.faces.resource/images/ui-bg_highlight-hard_100_f6f6f6_1x100.png.xhtml?ln=primefaces-blitzer HTTP/1.1" 200 89
